,Scores
262,1218.0
263,961.0
264,771.0
265,1155.0
266,1062.0
267,1153.0
268,947.0
269,989.0
270,962.0
271,838.0
272,835.0
273,943.0
274,1266.0
275,968.0
276,896.0
277,814.0
278,675.0
279,1139.0
280,1270.0
281,780.0
282,512.0
283,1047.0
284,733.0
285,933.0
286,937.0
287,770.0
288,879.0
289,991.0
290,786.0
291,1196.0
292,943.0
293,1049.0
294,575.0
295,876.0
296,1085.0
297,828.0
298,867.0
299,903.0
300,1112.0
301,880.0
302,1135.0
303,746.0
304,864.0
305,850.0
306,898.0
307,774.0
308,835.0
309,1212.0
310,710.0
311,1039.0
312,900.0
313,1113.0
314,567.0
315,798.0
316,1202.0
317,901.0
318,790.0
319,1109.0
320,884.0
321,889.0
322,821.0
323,956.0
324,718.0
325,1009.0
326,1001.0
327,1088.0
328,975.0
329,680.0
330,1053.0
331,821.0
332,992.0
333,921.0
334,693.0
335,893.0
336,677.0
337,837.0
338,1117.0
339,1064.0
340,712.0
341,984.0
342,1172.0
343,933.0
344,969.0
345,765.0
346,1011.0
347,1134.0
348,879.0
349,916.0
350,943.0
351,1118.0
352,954.0
353,1149.0
354,651.0
355,880.0
356,1033.0
357,656.0
358,1080.0
359,869.0
360,839.0
361,774.0
362,807.0
363,712.0
364,728.0
365,855.0
366,1112.0
367,890.0
368,990.0
369,880.0
370,819.0
371,901.0
372,1167.0
373,781.0
374,855.0
375,1072.0
376,1012.0
377,718.0
378,739.0
379,867.0
380,799.0
381,996.0
382,1048.0
383,1049.0
384,1061.0
385,858.0
386,927.0
387,918.0
388,952.0
389,803.0
390,1120.0
391,1043.0
392,998.0
393,1051.0
394,1001.0
395,887.0
396,927.0
397,1075.0
398,996.0
399,1402.0
400,959.0
401,942.0
402,897.0
403,780.0
404,776.0
405,823.0
406,1019.0
407,809.0
408,791.0
409,901.0
410,863.0
411,896.0
412,1093.0
413,1075.0
414,957.0
415,802.0
416,827.0
417,843.0
418,964.0
419,947.0
420,1009.0
421,694.0
422,1119.0
423,1017.0
424,897.0
425,954.0
426,702.0
427,1182.0
428,996.0
429,778.0
430,814.0
431,1083.0
432,994.0
433,978.0
434,993.0
435,927.0
436,808.0
437,779.0
438,597.0
439,1140.0
440,767.0
441,1030.0
442,880.0
443,782.0
444,1267.0
445,1102.0
446,1087.0
447,615.0
448,550.0
449,1028.0
450,1001.0
451,1123.0
452,1183.0
453,953.0
454,1012.0
455,999.0
456,764.0
457,1263.0
458,684.0
459,934.0
460,781.0
461,651.0
462,1147.0
463,990.0
464,1052.0
465,758.0
466,1019.0
467,1155.0
468,1272.0
469,925.0
470,773.0
471,782.0
472,921.0
473,1113.0
474,898.0
475,923.0
476,1191.0
477,882.0
478,917.0
479,969.0
480,928.0
481,924.0
482,934.0
483,1042.0
484,802.0
485,968.0
486,1048.0
487,987.0
488,666.0
489,900.0
490,1133.0
491,996.0
492,1000.0
493,1154.0
494,836.0
495,1142.0
496,853.0
497,838.0
498,772.0
499,863.0
500,980.0
501,746.0
502,904.0
503,836.0
504,1104.0
505,588.0
506,1050.0
507,763.0
508,1095.0
509,915.0
510,878.0
511,806.0
512,1350.0
513,829.0
514,759.0
515,926.0
516,1052.0
517,785.0
518,1110.0
519,947.0
520,894.0
521,884.0
522,863.0
523,811.0
524,915.0
525,1064.0
526,886.0
527,840.0
528,970.0
529,978.0
530,934.0
531,938.0
532,969.0
533,942.0
534,864.0
535,893.0
536,956.0
537,966.0
538,1014.0
539,835.0
540,725.0
541,850.0
542,828.0
543,742.0
544,1070.0
545,906.0
546,745.0
547,763.0
548,945.0
549,740.0
550,1041.0
551,1041.0
552,1040.0
553,1003.0
554,438.0
555,1134.0
556,999.0
557,1058.0
558,1023.0
559,912.0
560,988.0
561,825.0
562,1048.0
563,929.0
564,951.0
565,1015.0
566,1033.0
567,1214.0
568,756.0
569,937.0
570,1069.0
571,791.0
572,905.0
573,981.0
574,699.0
575,878.0
576,683.0
577,1069.0
578,1181.0
579,1031.0
580,940.0
581,957.0
582,831.0
583,848.0
584,905.0
585,743.0
586,772.0
587,943.0
588,1080.0
589,536.0
590,970.0
591,864.0
592,710.0
593,819.0
594,597.0
595,708.0
596,841.0
597,1299.0
598,688.0
599,567.0
600,1205.0
601,791.0
602,980.0
603,1223.0
604,1083.0
605,1297.0
606,475.0
607,1100.0
608,1130.0
609,1340.0
610,849.0
611,595.0
612,1128.0
613,1280.0
614,1225.0
615,840.0
616,748.0
617,1205.0
618,824.0
619,840.0
620,632.0
621,1134.0
622,1089.0
623,743.0
624,962.0
625,741.0
626,793.0
627,819.0
628,1062.0
629,1250.0
630,880.0
631,721.0
632,687.0
633,1051.0
634,668.0
635,968.0
636,1242.0
637,880.0
638,819.0
639,900.0
640,869.0
641,705.0
642,977.0
643,1138.0
644,1215.0
645,1137.0
646,991.0
647,795.0
648,649.0
649,903.0
650,619.0
651,1144.0
652,1136.0
653,833.0
654,1114.0
655,662.0
656,970.0
657,990.0
658,977.0
659,948.0
660,785.0
661,1108.0
662,763.0
663,793.0
664,981.0
665,1017.0
666,986.0
667,802.0
668,1039.0
669,1015.0
670,909.0
671,976.0
672,946.0
673,752.0
674,1235.0
675,849.0
676,1086.0
677,1374.0
678,747.0
679,1263.0
680,951.0
681,704.0
682,756.0
683,682.0
684,785.0
685,911.0
686,1001.0
687,1211.0
688,832.0
689,1029.0
690,787.0
691,966.0
692,1003.0
693,1040.0
694,730.0
695,724.0
696,921.0
697,1060.0
698,1093.0
699,893.0
700,954.0
701,730.0
702,853.0
703,825.0
704,1138.0
705,816.0
706,1130.0
707,796.0
708,1261.0
709,715.0
710,1174.0
711,668.0
712,867.0
713,1182.0
714,1014.0
715,954.0
716,1007.0
717,664.0
718,1088.0
719,906.0
720,914.0
721,803.0
722,1105.0
723,935.0
724,931.0
725,876.0
726,757.0
727,1196.0
728,910.0
729,831.0
730,924.0
731,897.0
732,912.0
733,1007.0
734,1248.0
735,933.0
736,1021.0
737,1019.0
738,1084.0
739,910.0
740,999.0
741,951.0
742,1079.0
743,882.0
744,880.0
745,773.0
746,981.0
747,786.0
748,1050.0
749,1084.0
750,857.0
751,922.0
752,939.0
753,872.0
754,1061.0
755,961.0
756,953.0
757,821.0
758,1082.0
759,858.0
760,1126.0
761,1061.0
762,622.0
763,1022.0
764,1525.0
765,988.0
766,1084.0
767,879.0
768,1067.0
769,808.0
770,1024.0
771,1047.0
772,1085.0
773,1167.0
774,980.0
775,865.0
776,1073.0
777,1132.0
778,1061.0
779,1180.0
780,1018.0
781,1075.0
782,997.0
783,1264.0
784,1164.0
785,772.0
786,896.0
787,1437.0
788,1138.0
789,868.0
790,1233.0
791,930.0
792,861.0
793,819.0
794,1071.0
795,1166.0
796,701.0
797,917.0
798,1064.0
799,704.0
800,721.0
801,1123.0
802,770.0
803,1078.0
804,1068.0
805,775.0
806,1074.0
807,762.0
808,838.0
809,1285.0
810,878.0
811,790.0
812,1309.0
813,825.0
814,731.0
815,756.0
816,997.0
817,942.0
818,879.0
819,970.0
820,872.0
821,779.0
822,676.0
823,900.0
824,1301.0
825,1120.0
826,750.0
827,1124.0
828,819.0
829,1281.0
830,1042.0
831,758.0
832,780.0
833,713.0
834,861.0
835,572.0
836,1078.0
837,614.0
838,1072.0
839,859.0
840,872.0
841,642.0
842,1025.0
843,1097.0
844,752.0
845,619.0
846,1058.0
847,1183.0
848,1016.0
849,1044.0
850,863.0
851,1050.0
852,967.0
853,840.0
854,1056.0
855,901.0
856,738.0
857,1010.0
858,917.0
859,990.0
860,1147.0
861,667.0
862,747.0
863,1133.0
864,935.0
865,737.0
866,1051.0
867,1102.0
868,784.0
869,763.0
870,1005.0
871,994.0
872,1127.0
873,888.0
874,973.0
875,660.0
876,1064.0
877,923.0
878,866.0
879,850.0
880,1304.0
881,879.0
882,1043.0
883,816.0
884,1008.0
885,954.0
886,850.0
887,825.0
888,1072.0
889,1234.0
890,1202.0
891,942.0
892,893.0
893,1141.0
894,786.0
895,984.0
896,991.0
897,855.0
898,824.0
899,1230.0
900,707.0
901,896.0
902,907.0
903,1034.0
904,659.0
905,809.0
906,1129.0
907,817.0
908,949.0
909,812.0
910,741.0
911,1010.0
912,946.0
913,1284.0
914,999.0
915,920.0
916,1007.0
917,856.0
918,715.0
919,901.0
920,683.0
921,981.0
922,970.0
923,1028.0
924,1018.0
925,1198.0
926,965.0
927,903.0
928,766.0
929,706.0
930,983.0
931,731.0
932,1039.0
933,771.0
934,915.0
935,859.0
936,1076.0
937,1120.0
938,1074.0
939,710.0
940,996.0
941,894.0
942,986.0
943,1041.0
944,766.0
945,1170.0
946,991.0
947,1006.0
948,916.0
949,733.0
950,1143.0
951,703.0
952,1418.0
953,695.0
954,780.0
955,1255.0
956,845.0
957,968.0
958,915.0
959,879.0
960,1240.0
961,899.0
962,792.0
963,1124.0
964,878.0
965,1114.0
966,919.0
967,1198.0
968,916.0
969,826.0
970,858.0
971,988.0
972,1047.0
973,1345.0
974,937.0
975,1024.0
976,958.0
977,1047.0
978,1105.0
979,1060.0
980,754.0
981,539.0
982,1059.0
983,873.0
984,850.0
985,857.0
986,873.0
987,640.0
988,588.0
989,695.0
990,1129.0
991,1205.0
992,899.0
993,1150.0
994,1009.0
995,783.0
996,720.0
997,753.0
998,1116.0
999,703.0
