COVERED CALL WRITES: CASH

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUC:    Raw Return, if unchanged, cash
  ARIUC:   Annualized Return, if unchanged, cash
  RIEC:    Raw Return, if exercised, cash
  ARIEC:   Annualized Return, if exercised, cash
  DBEC:    Downside breakeven point, cash
  UBEC:    UPSIDE breakeven point, cash
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, cash
  AERTNC:  Annualized EXPECTED Return, cash
  Invt:    Investment for cash covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
IGV     408.56  Jan'25 260  160.50    4.8    4.7    4.8    4.7 248.16 420.35  0.39  0.03   100    99    44     4.7     4.7 248.16   116/    7
PEN     263.06  Jun  120    144.90    1.4    3.3    1.4    3.3 118.26 264.75  0.55  0.01   100   100    49     1.4     3.3 118.26    98/   31
IGV     408.56  Aug  280    135.50    2.5    4.3    2.5    4.3 273.16 415.35  0.33  0.02   100   100    45     2.5     4.2 273.16   112/    7
IGV     408.56  Aug  285    131.00    2.6    4.5    2.6    4.5 277.66 415.85  0.32  0.02   100    99    45     2.6     4.5 277.66   107/    7
IGV     408.56  Aug  265    149.50    2.2    3.8    2.2    3.8 259.16 414.35  0.37  0.01   100   100    46     2.2     3.8 259.16   127/    7
IGV     408.56  Aug  270    145.00    2.4    4.1    2.4    4.1 263.66 414.85  0.35  0.02   100   100    46     2.4     4.1 263.66   124/    7
IGV     408.56  Aug  275    140.50    2.5    4.3    2.5    4.3 268.16 415.35  0.34  0.02   100   100    45     2.5     4.3 268.16   118/    7
BRKB    361.10  Jun  250    115.05    1.5    3.6    1.5    3.6 246.15 364.90  0.32  0.01   100   100    46     1.5     3.6 246.15   182/   13
BRKB    361.10  Sep  250    119.05    3.2    4.7    3.2    4.7 242.15 368.90  0.33  0.02   100   100    43     3.2     4.7 242.15   163/   13
BRKB    361.10  Oct  250    120.50    3.8    5.1    3.8    5.1 240.70 370.35  0.33  0.03   100   100    42     3.8     5.1 240.70   160/   13
RS      278.59  Feb  210     69.50    0.4    4.3    0.4    4.3 209.19 279.35  0.25  0.00   100   100    49     0.4     4.3 209.19   117/   29
BRKB    361.10  Oct  240    129.50    3.6    4.7    3.6    4.7 231.70 369.35  0.36  0.02   100   100    43     3.6     4.7 231.70   174/   13
BRKB    361.10  Jun  245    120.00    1.6    3.6    1.6    3.6 241.20 364.85  0.33  0.01   100   100    46     1.6     3.6 241.20   191/   13
BRKB    361.10  Jun  255    110.50    1.7    3.9    1.7    3.9 250.70 365.35  0.31  0.01   100   100    45     1.7     3.9 250.70   176/   13
RS      278.59  Feb  220     59.60    0.4    4.6    0.4    4.6 219.09 279.45  0.21  0.00   100   100    49     0.4     4.6 219.09    91/   29
WDAY    280.89  Sep  150    134.90    2.6    3.9    2.6    3.9 146.09 284.75  0.48  0.01   100    99    48     2.6     3.8 146.09   115/    4
PDD     143.16  Apr  90      54.20    1.0    3.9    1.0    3.9  89.06 144.05  0.38  0.01   100   100    49     1.0     3.8  89.06    89/    0
BRKB    361.10  Jun  260    105.50    1.7    3.9    1.7    3.9 255.70 365.35  0.29  0.01   100   100    45     1.7     3.9 255.70   165/   13
BRKB    361.10  Sep  260    109.50    3.3    4.8    3.3    4.8 251.70 369.35  0.30  0.02   100   100    43     3.3     4.8 251.70   147/   13
BRKB    361.10  Oct  260    111.00    3.9    5.2    3.9    5.2 250.20 370.85  0.31  0.03   100    99    42     3.9     5.1 250.20   145/   13
BRKB    361.10  Sep  240    128.50    3.1    4.6    3.1    4.6 232.70 368.35  0.36  0.02   100   100    44     3.1     4.6 232.70   179/   13
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
RS      278.59  Feb  175    104.20    0.3    3.1    0.3    3.1 174.49 279.05  0.37  0.00   100   100    49     0.3     3.1 174.49   211/   29
RS      278.59  Feb  180     99.20    0.3    3.0    0.3    3.0 179.49 279.05  0.36  0.00   100   100    49     0.3     3.0 179.49   195/   29
RS      278.59  Feb  190     89.30    0.3    3.5    0.3    3.5 189.39 279.15  0.32  0.00   100   100    49     0.3     3.5 189.39   169/   29
QQQM    168.57  Jun  95      75.10    1.5    3.4    1.5    3.4  93.57 169.95  0.44  0.01   100   100    48     1.5     3.4  93.57   182/   27
QQQM    168.57  Mar  95      74.20    0.5    3.1    0.5    3.1  94.47 169.05  0.44  0.00   100   100    49     0.5     3.1  94.47   287/   27
QQQM    168.57  Jun  90      79.90    1.3    3.1    1.3    3.1  88.77 169.75  0.47  0.01   100   100    48     1.3     3.1  88.77   197/   27
RS      278.59  Mar  190     89.70    0.5    3.1    0.5    3.1 188.99 279.55  0.32  0.00   100   100    49     0.5     3.1 188.99   103/   29
RS      278.59  Mar  200     79.80    0.5    3.3    0.5    3.3 198.89 279.65  0.29  0.00   100   100    49     0.5     3.3 198.89    84/   29
BRKB    361.10  Jun  235    129.60    1.4    3.4    1.4    3.4 231.60 364.45  0.36  0.01   100   100    46     1.4     3.4 231.60   210/   13
BRKB    361.10  Jun  240    125.00    1.6    3.7    1.6    3.7 236.20 364.85  0.35  0.01   100   100    46     1.6     3.7 236.20   204/   13
RS      278.59  Feb  195     84.30    0.3    3.4    0.3    3.4 194.39 279.15  0.30  0.00   100   100    49     0.3     3.4 194.39   154/   29
RS      278.59  Mar  195     84.70    0.5    3.1    0.5    3.1 193.99 279.55  0.30  0.00   100   100    49     0.5     3.1 193.99    93/   29
RS      278.59  Feb  200     79.30    0.3    3.3    0.3    3.3 199.39 279.15  0.28  0.00   100   100    49     0.3     3.3 199.39   141/   29
UBER     63.65  Jun  30      34.25    1.5    3.5    1.5    3.5  29.50  64.10  0.54  0.01   100   100    49     1.5     3.5  29.50   114/   24
UBER     63.65  Apr  35      29.10    0.9    3.4    0.9    3.4  34.65  63.95  0.46  0.00   100   100    49     0.9     3.4  34.65   121/   24
UBER     63.65  Apr  37.5    26.65    0.9    3.7    0.9    3.7  37.10  64.00  0.42  0.01   100   100    49     0.9     3.6  37.10    96/   24
UBER     63.65  Jun  27.5    36.70    1.5    3.4    1.5    3.4  27.05  64.05  0.58  0.01   100   100    49     1.5     3.4  27.05   138/   24
IT      453.10  Jun  250    206.50    1.3    3.1    1.3    3.1 246.70 456.35  0.46  0.01   100   100    49     1.3     3.0 246.70   132/   31
IT      453.10  Jun  260    197.00    1.5    3.4    1.5    3.4 256.20 456.85  0.43  0.01   100    99    49     1.4     3.3 256.20   124/   31
SNOW    188.02  Jun  90      99.40    1.4    3.2    1.4    3.2  88.72 189.25  0.53  0.01   100   100    49     1.4     3.2  88.72   101/    6
MDY     494.84  Jun  365    135.00    1.4    3.2    1.4    3.2 359.94 499.85  0.27  0.01   100    99    47     1.4     3.2 359.94   119/    9
CASY    288.58  Aug  190    102.20    1.9    3.2    1.9    3.2 186.48 292.05  0.35  0.01   100    99    47     1.8     3.1 186.48    88/    3
CASY    288.58  Aug  185    107.20    1.9    3.3    1.9    3.3 181.48 292.05  0.37  0.01   100   100    47     1.9     3.3 181.48    98/    3
SNOW    188.02  Jun  95      94.65    1.6    3.7    1.6    3.7  93.47 189.50  0.50  0.01   100   100    49     1.6     3.6  93.47    93/    6
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
SNOW    188.02  May  105     84.35    1.1    3.4    1.1    3.4 103.77 189.20  0.45  0.01   100    99    49     1.1     3.3 103.77    84/    6
CYBR    228.22  Dec  75     155.50    2.9    3.1    2.9    3.1  72.82 230.35  0.68  0.01   100   100    49     2.9     3.1  72.82   117/   35
ORLY    990.25  May  680    318.00    1.1    3.4    1.1    3.4 672.35 997.85  0.32  0.01   100    99    48     1.1     3.3 672.35   124/   44
META    367.46  Jan+ 280     87.85    0.1    3.1    0.1    3.1 279.71 367.70  0.24  0.00   100   100    50     0.1     3.1 279.71   179/   31
META    367.46  Feb+ 275     94.50    0.7    6.6    0.7    6.6 273.06 369.35  0.26  0.01   100    99    48     0.7     6.5 273.06    97/   31
META    367.46  Feb  275     94.25    0.6    7.1    0.6    7.1 273.31 369.10  0.26  0.00   100   100    48     0.6     7.0 273.31   113/   31
META    367.46  Feb  280     89.40    0.6    7.6    0.6    7.6 278.16 369.25  0.24  0.00   100   100    48     0.6     7.5 278.16   104/   31
META    367.46  Feb+ 280     88.75    0.4    6.2    0.4    6.2 278.81 368.60  0.24  0.00   100   100    49     0.4     6.2 278.81   115/   31
META    367.46  Feb+ 280     88.30    0.2    5.3    0.2    5.3 279.26 368.15  0.24  0.00   100   100    49     0.2     5.3 279.26   139/   31
META    367.46  Feb+ 275     93.65    0.4    5.8    0.4    5.8 273.91 368.50  0.25  0.00   100   100    49     0.4     5.8 273.91   123/   31
META    367.46  Feb  270     99.05    0.5    6.3    0.5    6.3 268.51 368.90  0.27  0.00   100   100    48     0.5     6.3 268.51   118/   31
META    367.46  Feb+ 270     98.65    0.4    5.9    0.4    5.9 268.91 368.50  0.27  0.00   100   100    49     0.4     5.9 268.91   134/   31
META    367.46  Feb+ 270     98.30    0.3    5.5    0.3    5.5 269.26 368.15  0.27  0.00   100   100    49     0.3     5.5 269.26   163/   31
META    367.46  Feb+ 275     93.10    0.2    3.8    0.2    3.8 274.46 367.95  0.25  0.00   100   100    49     0.2     3.8 274.46   152/   31
META    367.46  Feb+ 270     99.35    0.6    6.2    0.6    6.2 268.21 369.20  0.27  0.00   100   100    48     0.6     6.2 268.21   103/   31
IWO     241.25  May  130    112.70    1.0    3.0    1.0    3.0 128.65 242.55  0.47  0.01   100   100    49     1.0     3.0 128.65   210/    9
TIP     107.24  Mar  94      13.85    0.5    3.0    0.5    3.0  93.49 107.70  0.13  0.00   100   100    46     0.5     3.0  93.49   161/   51
TIP     107.24  Mar  93      14.85    0.5    3.1    0.5    3.1  92.49 107.70  0.14  0.00   100   100    46     0.5     3.1  92.49   173/   51
ORCL    106.57  Sep  65      43.20    2.3    3.4    2.3    3.4  63.47 108.05  0.40  0.01   100   100    47     2.3     3.4  63.47   103/   13
TIP     107.24  Mar  97      10.90    0.5    3.3    0.5    3.3  96.44 107.75  0.10  0.00   100    99    45     0.5     3.2  96.44   116/   51
ORCL    106.57  Jun  72.5    35.55    1.9    4.3    1.9    4.3  71.12 107.90  0.33  0.01   100    99    47     1.8     4.3  71.12   103/   13
TIP     107.24  Mar  95      12.85    0.5    3.0    0.5    3.0  94.49 107.70  0.12  0.00   100   100    46     0.5     3.0  94.49   144/   51
ORCL    106.57  Jun  70      37.90    1.7    4.0    1.7    4.0  68.77 107.75  0.35  0.01   100   100    47     1.7     4.0  68.77   111/   13
IWM     190.84  Jan+ 172     19.16    0.1    3.6    0.1    3.6 171.78 191.01  0.10  0.00   100   100    49     0.1     3.6 171.78    97/   24
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
IWM     190.84  Jan+ 173     18.18    0.1    4.0    0.1    4.0 172.76 191.03  0.09  0.00   100   100    49     0.1     3.9 172.76    91/   24
IWM     190.84  Jan+ 172.5   18.67    0.1    3.8    0.1    3.8 172.27 191.02  0.10  0.00   100   100    49     0.1     3.8 172.27    94/   24
ORCL    106.57  Jun  67.5    40.30    1.6    3.8    1.6    3.8  66.37 107.65  0.38  0.01   100   100    47     1.6     3.8  66.37   121/   13
IWM     190.84  Jan+ 171     20.16    0.1    3.6    0.1    3.6 170.78 191.01  0.11  0.00   100   100    49     0.1     3.6 170.78   105/   24
IWM     190.84  Jan+ 174     17.19    0.1    4.2    0.1    4.2 173.75 191.04  0.09  0.00   100    99    49     0.1     4.1 173.75    82/   24
SNPS    509.68  Dec  250    268.00    3.4    3.6    3.4    3.6 241.78 517.85  0.53  0.02   100    99    48     3.3     3.6 241.78   116/   20
MDY     494.84  Jun  350    149.50    1.3    3.0    1.3    3.0 345.44 499.35  0.30  0.01   100   100    47     1.3     3.0 345.44   136/    9
ORCL    106.57  Mar+ 85      22.10    0.4    3.6    0.4    3.6  84.57 106.95  0.21  0.00   100   100    48     0.4     3.6  84.57   119/   13
X        47.23  Jun  36      11.85    1.3    3.1    1.3    3.1  35.48  47.70  0.25  0.01   100   100    46     1.3     3.1  35.48   102/    1
CASY    288.58  Oct  180    113.20    2.5    3.4    2.5    3.4 175.48 293.05  0.39  0.02   100    99    47     2.5     3.3 175.48    93/    3
CASY    288.58  Aug  180    112.00    1.9    3.2    1.9    3.2 176.68 291.85  0.39  0.01   100   100    47     1.8     3.2 176.68   103/    3
CASY    288.58  Oct  175    117.70    2.3    3.1    2.3    3.1 170.98 292.55  0.41  0.01   100   100    47     2.3     3.0 170.98    97/    3
ABNB    135.02  Apr  80      55.80    0.8    3.1    0.8    3.1  79.32 135.65  0.41  0.00   100   100    49     0.8     3.0  79.32    96/    6
CASY    288.58  Oct  170    122.60    2.3    3.1    2.3    3.1 166.08 292.45  0.42  0.01   100   100    47     2.3     3.1 166.08   102/    3
SNPS    509.68  Dec  240    277.00    3.1    3.3    3.1    3.3 232.78 516.85  0.54  0.01   100   100    48     3.1     3.3 232.78   121/   20
SNPS    509.68  Jan'25 240  278.00    3.5    3.5    3.5    3.5 231.78 517.85  0.55  0.02   100    99    48     3.5     3.5 231.78   117/   20
