COVERED CALL WRITES: CASH

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUC:    Raw Return, if unchanged, cash
  ARIUC:   Annualized Return, if unchanged, cash
  RIEC:    Raw Return, if exercised, cash
  ARIEC:   Annualized Return, if exercised, cash
  DBEC:    Downside breakeven point, cash
  UBEC:    UPSIDE breakeven point, cash
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, cash
  AERTNC:  Annualized EXPECTED Return, cash
  Invt:    Investment for cash covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
IRBT     30.21  Feb  30       5.50   20.7  243.9   20.7  243.9  24.81  35.35  0.18  0.17    67    51    36     5.6    65.5  24.81    78/  100
MARA     17.78  Jan+ 19       1.10    6.0  217.5   12.9  472.0  16.78  19.95  0.06  0.12    61    38    30     1.8    65.5  16.78    -7/   55
UVIX     13.22  Feb  15       1.43   11.2  131.7   25.7  303.0  11.89  16.28  0.10  0.23    61    37    29     5.6    65.4  11.89    27/   13
AMLX     15.52  Aug  22       4.40   38.3   65.7   95.6  163.9  11.22  26.25  0.28  0.69    68    31    23    38.1    65.4  11.22    24/   79
AMLX     15.52  Aug  19       5.20   48.9   83.9   81.9  140.3  10.42  24.05  0.33  0.55    72    39    26    38.1    65.3  10.42    27/   79
CYTK     81.19  Jan+ 80.5     6.20    7.1  260.5    7.1  260.5  75.09  86.55  0.08  0.07    69    52    35     1.8    65.0  75.09    -1/   81
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AMLX     15.52  Aug  18       5.50   53.4   91.4   77.4  132.6  10.12  23.35  0.35  0.50    73    42    28    37.9    64.9  10.12    27/   79
AMLX     15.52  Aug  20       4.90   44.8   76.7   86.1  147.5  10.72  24.75  0.31  0.59    70    36    25    37.9    64.9  10.72    24/   79
AMLX     15.52  Aug  24       3.90   32.4   55.6  104.4  178.8  11.72  27.75  0.24  0.79    66    27    20    37.6    64.5  11.72    21/   79
CYTK     81.19  Jan+ 81       5.90    7.4  269.2    7.4  269.2  75.39  86.75  0.07  0.07    68    51    34     1.7    63.7  75.39    -5/   81
WOLF     32.73  Feb+ 34       2.60    8.3  177.6   12.3  264.2  30.23  36.45  0.08  0.11    65    43    30     3.0    63.6  30.23    53/   98
AMLX     15.52  May  11       7.10   28.5   85.3   28.5   85.3   8.52  17.95  0.45  0.16    87    74    39    21.1    63.2   8.52    60/   79
ANVS     11.85  Feb  7.5      5.30   12.0  141.6   12.0  141.6   6.65  12.65  0.44  0.07    82    76    46     5.3    63.0   6.65   918/  100
AMLX     15.52  Aug  15       6.50   63.9  109.5   63.9  109.5   9.12  21.35  0.41  0.38    78    52    32    36.7    62.9   9.12    33/   79
AMLX     15.52  Aug  16       6.10   63.0  108.0   67.5  115.7   9.52  21.95  0.39  0.41    76    48    31    36.6    62.6   9.52    31/   79
CYTK     81.19  Jan+ 79.5     6.70    6.5  237.8    6.5  237.8  74.59  86.05  0.08  0.06    70    55    36     1.7    62.5  74.59    -3/   81
AMLX     15.52  Aug  30       2.75   20.6   35.3  132.7  227.4  12.87  32.60  0.17  1.10    61    17    14    36.3    62.3  12.87    15/   79
BOIL     31.15  Feb+ 34.5     1.91    6.2  132.5   17.4  373.9  29.34  36.26  0.06  0.16    60    34    27     2.9    62.2  29.34    -2/   40
BMEA     14.41  Mar  17.5     2.10   16.1   99.7   40.6  251.2  12.41  19.45  0.14  0.35    61    36    29    10.0    62.1  12.41    19/   77
UVIX     13.22  Apr  15       3.10   29.4  114.0   46.3  179.7  10.22  17.95  0.23  0.36    66    42    32    16.0    62.1  10.22    34/   13
CLSK      7.65  Jan'26 20     3.10   64.5   32.2  329.0  164.3   4.65  22.95  0.39  2.00    60    31    29   123.7    61.8   4.65   -14/   84
UVIX     13.22  May  15       3.65   36.7  109.8   54.6  163.4   9.67  18.50  0.27  0.40    67    43    32    20.6    61.7   9.67    36/   13
UVIX     13.22  Jun  16       3.90   40.3   93.8   69.3  161.2   9.42  19.75  0.29  0.49    66    41    31    26.5    61.5   9.42    38/   13
UVIX     13.22  Feb+ 15       1.62   13.0  124.8   27.8  266.8  11.70  16.47  0.11  0.25    62    38    29     6.4    61.1  11.70    25/   13
UVIX     13.22  Mar  15       2.24   19.3  119.5   34.9  216.1  11.08  17.09  0.16  0.29    64    40    31     9.9    61.1  11.08    28/   13
WULF      1.51  Jan'25 2.5    0.70   66.3   65.9  170.7  169.8   0.91   3.05  0.40  1.03    60    40    37    61.2    60.9   0.91   -16/   96
AMLX     15.52  May  10       7.70   25.6   76.7   25.6   76.7   7.92  17.55  0.49  0.13    90    80    41    20.3    60.8   7.92    66/   79
ALT      10.80  Mar  12       2.15   23.4  145.0   36.6  226.7   8.75  14.00  0.19  0.30    63    43    34     9.8    60.3   8.75    -2/   77
AMLX     15.52  Jun  9        8.80   31.2   72.6   31.2   72.6   6.82  17.65  0.56  0.14    92    82    41    25.9    60.3   6.82    77/   79
EDU      76.05  Jan+ 80       2.49    3.2  118.4    8.5  311.7  73.66  82.34  0.03  0.08    61    32    24     1.6    60.1  73.66    47/   30
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AMLX     15.52  Aug  14       6.80   58.2   99.7   58.2   99.7   8.82  20.65  0.43  0.33    79    56    34    35.0    60.1   8.82    35/   79
BOIL     31.15  Feb+ 35       2.35    7.8  118.4   20.9  318.4  28.90  37.20  0.07  0.19    60    34    27     3.9    60.0  28.90    -2/   40
MARA     17.78  Feb+ 19.5     1.35    7.6  162.4   17.7  379.3  16.53  20.70  0.07  0.16    60    37    29     2.8    59.8  16.53    -8/   55
UVIX     13.22  Mar+ 15       1.82   15.0  121.3   30.0  243.3  11.50  16.67  0.13  0.26    62    39    30     7.4    59.7  11.50    25/   13
EDU      76.05  Jan+ 81       2.16    2.8  101.6    9.4  343.3  73.99  83.01  0.03  0.09    60    28    21     1.6    59.7  73.99    48/   30
SANA      6.36  Feb  7.5      0.60    8.5  100.5   27.1  319.5   5.86   7.95  0.08  0.25    60    31    25     5.1    59.6   5.86    -4/   95
UPST     30.45  Feb  35       2.31    7.8   92.1   23.8  279.8  28.24  37.16  0.07  0.22    60    32    25     5.0    59.0  28.24    15/   34
KURA     15.17  Feb  17.5     1.60   11.0  129.2   27.7  325.6  13.67  18.95  0.10  0.25    60    37    30     5.0    59.0  13.67    73/  100
ALT      10.80  Mar+ 12.5     1.60   16.1  130.9   33.9  275.3   9.30  13.95  0.14  0.29    61    39    32     7.3    59.0   9.30    13/   77
BOIL     31.15  Feb+ 34       2.05    6.7  143.4   16.3  349.3  29.20  35.90  0.06  0.15    60    36    28     2.7    58.8  29.20    -2/   40
CYTK     81.19  Feb+ 84       6.30    8.3  177.5   11.9  256.5  74.99  90.15  0.08  0.11    65    44    31     2.7    58.8  74.99    -7/   81
CYTK     81.19  Feb+ 81.5     7.50   10.0  215.3   10.4  222.9  73.79  88.85  0.09  0.09    67    49    33     2.7    58.7  73.79    -6/   81
IRBT     30.21  Feb  32       4.40   16.6  195.4   23.3  274.5  25.91  36.25  0.14  0.20    63    45    34     5.0    58.7  25.91    72/  100
EDU      76.05  Jan+ 79       2.83    3.7  135.9    7.7  280.3  73.32  81.68  0.04  0.07    63    37    26     1.6    58.6  73.32    46/   30
AMLX     15.52  Aug  13       7.20   53.8   92.2   53.8   92.2   8.42  20.05  0.46  0.29    81    60    36    34.1    58.5   8.42    37/   79
WOLF     32.73  Feb+ 33       3.00    9.7  208.7   10.5  224.6  29.83  35.85  0.09  0.10    67    48    33     2.7    58.3  29.83    52/   98
CYTK     81.19  Feb+ 82.5     7.00    9.3  199.4   11.0  235.8  74.29  89.35  0.08  0.10    66    47    32     2.7    58.2  74.29   -11/   81
CYTK     81.19  Jan+ 76       8.80    4.8  174.2    4.8  174.2  72.49  84.65  0.11  0.04    76    66    40     1.6    58.2  72.49    -1/   81
MARA     17.78  Feb+ 19       1.54    8.8  189.2   16.0  343.0  16.34  20.39  0.08  0.15    62    41    31     2.7    57.8  16.34    -8/   55
CYTK     81.19  Jan+ 78       7.50    5.6  205.8    5.6  205.8  73.79  85.35  0.09  0.05    72    60    38     1.6    57.7  73.79    -2/   81
IRBT     30.21  Feb  20      11.90    8.4   98.5    8.4   98.5  18.41  31.75  0.39  0.05    86    82    46     4.9    57.6  18.41   131/  100
IOVA      8.37  Mar  7.5      2.55   25.8  159.9   25.8  159.9   5.92   9.90  0.29  0.18    71    57    39     9.3    57.5   5.92    31/   99
CYTK     81.19  Feb+ 85.5     5.60    7.3  156.0   12.9  276.9  75.69  90.95  0.07  0.12    63    40    30     2.7    57.1  75.69    -9/   81
UVIX     13.22  Feb+ 14.5     1.29    9.9  150.4   20.1  305.9  12.03  15.64  0.09  0.18    61    39    30     3.8    57.1  12.03    24/   13
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
UVIX     13.22  Jun  15       4.10   43.4  100.9   62.1  144.5   9.22  18.95  0.30  0.43    67    44    33    24.4    56.8   9.22    36/   13
ALGN    267.46  Feb+ 280     11.60    4.5   96.5    9.4  201.2 255.96 291.45  0.04  0.09    65    34    23     2.6    56.5 255.96    67/   65
EDU      76.05  Jan+ 78       3.20    4.2  155.1    6.9  250.2  72.95  81.05  0.04  0.07    65    41    28     1.5    56.5  72.95    46/   30
EDU      76.05  Jan+ 77       3.65    4.9  178.7    6.1  224.0  72.50  80.50  0.05  0.06    67    46    30     1.5    56.4  72.50    48/   30
ALGN    267.46  Feb+ 285      9.90    3.8   81.7   10.6  227.4 257.66 294.75  0.04  0.10    63    29    20     2.6    56.2 257.66    61/   65
WOLF     32.73  Feb+ 32       3.50    8.9  191.8    8.9  191.8  29.33  35.35  0.10  0.08    70    54    35     2.6    56.2  29.33    54/   98
ALT      10.80  Feb  12       1.40   13.7  161.2   25.9  304.4   9.50  13.25  0.12  0.23    61    41    32     4.8    56.2   9.50    -3/   77
AMLX     15.52  Aug  12       7.60   49.0   84.0   49.0   84.0   8.02  19.45  0.48  0.25    83    64    37    32.7    56.1   8.02    37/   79
ALT      10.80  Jun  15       2.60   30.1   70.1   80.2  186.5   8.30  17.45  0.23  0.62    60    37    32    24.1    56.0   8.30   -12/   77
AMLX     15.52  May  9        8.30   22.3   66.6   22.3   66.6   7.32  17.15  0.53  0.11    92    85    42    18.7    55.9   7.32    64/   79
UVIX     13.22  Feb+ 14.5     1.00    7.3  156.8   17.3  371.2  12.32  15.35  0.07  0.16    60    37    29     2.6    55.8  12.32    23/   13
ALGN    267.46  Feb+ 287.5    9.10    3.5   74.8   11.2  240.8 258.46 296.45  0.03  0.11    62    26    18     2.6    55.7 258.46    62/   65
CLSK      7.65  Feb+ 9        0.90   11.7  112.2   30.7  294.5   6.85   9.75  0.10  0.27    60    36    29     5.8    55.5   6.85     1/   84
