COVERED CALL WRITES: MARGIN

NOTE: It is possible to have zero or negative investment
      in a margin covered write.  Where that happens, the
      returns are arbitrarily set to 999%
      ALSO, it should be noted that stocks selling for
      less than $5 per share may not be marginable.

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUM:    Raw Return, if unchanged, margin
  ARIUM:   Annualized Return, if unchanged, margin
  RIEM:    Raw Return, if exercised, margin
  ARIEM:   Annualized Return, if exercised, margin
  DBEM:    Downside breakeven point, margin
  UBEM:    UPSIDE breakeven point, margin
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, margin
  AERTNM:  Annualized EXPECTED Return, margin
  Invt:    Investment for margin covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
  Mgnint:  Margin interest paid (rate = T-Bill rate + 3%)
  Debit:   Debit balance (amount borrowed from broker)
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
META    367.46  Feb+ 295     73.80    0.6   13.4    0.6   13.4 293.49 368.38  0.20  0.00   100   100    49     0.6    13.4 146.24   116   0.27 147.52
WMT     161.83  Feb+ 145     17.35    0.2    3.8    0.2    3.8 144.39 162.01  0.11  0.00   100   100    49     0.2     3.7  72.06   107   0.19  72.53
META    367.46  Feb+ 290     79.05    0.7   11.2    0.7   11.2 288.13 368.52  0.22  0.00   100   100    49     0.7    11.0 143.49   101   0.38 145.02
META    367.46  Feb+ 290     78.65    0.5   11.5    0.5   11.5 288.64 368.23  0.21  0.00   100   100    49     0.5    11.5 143.88   129   0.27 145.02
SPY     474.93  Jan+ 453     22.50    0.1    4.5    0.1    4.5 452.33 475.15  0.05  0.00   100   100    49     0.1     4.4 226.01   111   0.20 226.52
AAPL    183.63  Jun  120     66.00    2.1    4.8    2.1    4.8 116.70 184.82  0.36  0.01   100   100    48     2.0     4.8  57.71   150   1.03  60.03
RS      278.59  Feb  220     59.60    0.4    5.2    0.4    5.2 218.72 279.08  0.21  0.00   100   100    49     0.4     5.2 109.06    91   0.37 110.03
META    367.46  Feb+ 300     68.95    0.7   15.3    0.7   15.3 298.33 368.52  0.19  0.00   100   100    48     0.7    15.1 148.59   111   0.28 150.02
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
BSX      60.25  May  40      20.80    0.7    2.0    0.7    2.0  39.28  60.38  0.35  0.00   100   100    49     0.7     2.0  19.53   141   0.27  20.02
SPY     474.93  Jan+ 452.5   23.42    0.3    9.6    0.3    9.6 451.36 475.52  0.05  0.00   100    99    47     0.3     9.4 225.33   112   0.25 226.27
META    367.46  Jan+ 300     67.90    0.1    3.1    0.1    3.1 299.50 367.59  0.18  0.00   100   100    50     0.1     3.1 149.63   120   0.16 150.02
BSX      60.25  May  37.5    23.30    0.8    2.4    0.8    2.4  36.80  60.40  0.39  0.00   100   100    49     0.8     2.4  18.28   161   0.25  18.77
IGV     408.56  Aug  260    154.50    2.2    3.8    2.2    3.8 251.12 411.31  0.39  0.01   100   100    48     2.2     3.8 124.14   132   3.04 130.02
AAPL    183.63  Jun  125     61.25    2.3    5.4    2.3    5.4 121.40 185.02  0.34  0.01   100    99    48     2.3     5.3  59.96   136   1.08  62.53
ABBV    161.48  Mar+ 130     32.15    0.3    2.5    0.3    2.5 129.11 161.68  0.20  0.00   100   100    49     0.3     2.5  64.40   161   0.32  65.03
WMT     161.83  Mar+ 140     22.80    0.7    5.6    0.7    5.6 138.78 162.30  0.14  0.00   100    99    48     0.7     5.5  69.11   123   0.35  70.03
META    367.46  Feb+ 280     88.30    0.3    6.6    0.3    6.6 279.00 367.89  0.24  0.00   100   100    49     0.3     6.6 139.24   139   0.26 140.02
META    367.46  Jan+ 280     87.85    0.1    2.3    0.1    2.3 279.56 367.55  0.24  0.00   100   100    50     0.1     2.3 139.68   179   0.15 140.02
META    367.46  Feb  280     89.40    1.0   11.2    1.0   11.2 277.68 368.77  0.24  0.00   100   100    49     0.9    11.0 138.13   104   0.48 140.02
META    367.46  Feb+ 280     88.75    0.6    8.5    0.6    8.5 278.44 368.23  0.24  0.00   100   100    49     0.6     8.4 138.79   115   0.37 140.02
BSX      60.25  Jun'25 30    32.10    6.4    4.5    6.4    4.5  27.39  61.09  0.55  0.01   100    99    48     6.2     4.4  13.23   136   0.86  15.02
BSX      60.25  Jun  30      30.80    1.0    2.3    1.0    2.3  29.29  60.39  0.51  0.00   100   100    49     1.0     2.3  14.53   210   0.26  15.02
META    367.46  Feb+ 275     93.65    0.5    7.6    0.5    7.6 273.55 368.14  0.26  0.00   100   100    49     0.5     7.6 136.38   123   0.36 137.52
META    367.46  Feb+ 275     94.50    1.0    9.3    1.0    9.3 272.49 368.78  0.26  0.00   100    99    49     0.9     9.1 135.54    97   0.57 137.52
META    367.46  Feb  275     94.25    0.9   10.2    0.9   10.2 272.84 368.63  0.26  0.00   100   100    49     0.9    10.1 135.79   113   0.47 137.52
WMT     161.83  Mar+ 135     27.70    0.6    4.7    0.6    4.7 133.90 162.22  0.17  0.00   100   100    48     0.6     4.7  66.71   193   0.33  67.53
META    367.46  Feb+ 285     83.95    0.7   10.4    0.7   10.4 283.24 368.43  0.23  0.00   100   100    49     0.7    10.3 141.09   112   0.37 142.52
WMT     161.83  Feb+ 140     22.65    0.5    5.2    0.5    5.2 138.99 162.21  0.14  0.00   100   100    48     0.5     5.2  69.25   160   0.29  70.03
AAPL    183.63  May  120     65.45    1.5    4.5    1.5    4.5 117.48 184.50  0.36  0.00   100   100    49     1.5     4.4  58.26   166   0.80  60.03
WMT     161.83  Mar  130     32.70    0.5    2.9    0.5    2.9 128.81 162.13  0.20  0.00   100   100    49     0.5     2.9  64.21   193   0.42  65.03
WMT     161.83  Mar  125     37.75    0.6    3.7    0.6    3.7 123.78 162.20  0.24  0.00   100   100    49     0.6     3.7  61.65   231   0.40  62.53
BSX      60.25  Aug  32.5    28.60    2.1    3.5    2.1    3.5  31.37  60.57  0.48  0.01   100   100    49     2.1     3.5  15.48   215   0.38  16.27
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
META    367.46  Feb+ 285     83.50    0.4    9.5    0.4    9.5 283.79 368.08  0.23  0.00   100   100    49     0.4     9.5 141.54   132   0.27 142.52
WMT     161.83  Mar+ 130     32.55    0.4    3.1    0.4    3.1 129.06 162.08  0.20  0.00   100   100    49     0.4     3.1  64.36   203   0.32  65.03
WDAY    280.89  Jun  170    113.50    1.2    2.8    1.2    2.8 166.03 281.89  0.41  0.00   100    99    49     1.2     2.7  82.47   105   1.46  85.03
CASY    288.58  Aug  180    112.00    1.3    2.3    1.3    2.3 174.58 289.75  0.40  0.00   100   100    49     1.3     2.3  86.65   103   2.10  90.03
AAPL    183.63  Feb+ 157.5   26.55    0.2    3.4    0.2    3.4 157.03 183.75  0.14  0.00   100   100    49     0.2     3.4  78.41   135   0.15  78.78
CASY    288.58  Oct  180    113.20    2.0    2.7    2.0    2.7 172.76 290.33  0.40  0.01   100    99    49     2.0     2.6  85.45    93   2.72  90.03
AAPL    183.63  Jun  115     70.85    2.0    4.5    2.0    4.5 111.89 184.71  0.39  0.01   100   100    48     1.9     4.5  55.36   164   0.99  57.53
AAPL    183.63  May  110     74.95    0.8    2.4    0.8    2.4 108.04 184.06  0.41  0.00   100   100    49     0.8     2.4  53.76   200   0.74  55.03
AAPL    183.63  Jun  105     80.35    1.3    3.0    1.3    3.0 102.48 184.30  0.44  0.00   100   100    49     1.3     3.0  50.86   202   0.90  52.53
AAPL    183.63  May  115     70.25    1.3    3.7    1.3    3.7 112.71 184.33  0.39  0.00   100   100    49     1.3     3.7  55.96   183   0.77  57.53
AAPL    183.63  Feb  155     29.25    0.3    3.2    0.3    3.2 154.22 183.84  0.16  0.00   100    99    49     0.3     3.0  76.96   102   0.26  77.53
WDAY    280.89  Sep  150    134.90    2.6    3.8    2.6    3.8 144.05 282.71  0.49  0.01   100    99    49     2.5     3.7  71.07   115   2.04  75.03
BRKB    361.10  Oct  240    129.50    4.1    5.5    4.1    5.5 228.07 365.72  0.37  0.01   100   100    46     4.1     5.5 111.68   174   3.63 120.03
BRKB    361.10  Jun  250    115.05    1.4    3.2    1.4    3.2 244.00 362.75  0.32  0.00   100   100    48     1.4     3.2 121.13   182   2.15 125.03
BRKB    361.10  Jun  245    120.00    1.4    3.2    1.4    3.2 239.09 362.74  0.34  0.00   100   100    48     1.4     3.2 118.68   191   2.11 122.53
BRKB    361.10  Sep  240    128.50    3.5    5.2    3.5    5.2 229.44 365.09  0.36  0.01   100   100    46     3.5     5.2 112.68   179   3.26 120.03
AMAT    153.76  Apr  95      59.65    0.5    2.1    0.5    2.1  93.72 154.01  0.39  0.00   100   100    50     0.5     2.0  46.68    88   0.49  47.53
WDAY    280.89  Jun  165    118.30    1.0    2.4    1.0    2.4 161.27 281.73  0.43  0.00   100   100    49     1.0     2.4  80.17   113   1.42  82.53
BRKB    361.10  Jun  240    125.00    1.5    3.4    1.5    3.4 234.13 362.78  0.35  0.00   100   100    48     1.4     3.4 116.18   204   2.07 120.03
BRKB    361.10  Jun  235    129.60    1.2    2.7    1.2    2.7 229.58 362.43  0.36  0.00   100   100    48     1.2     2.7 114.07   210   2.02 117.53
AAPL    183.63  May  105     79.95    0.9    2.7    0.9    2.7 103.08 184.10  0.44  0.00   100   100    49     0.9     2.7  51.26   227   0.70  52.53
RS      278.59  Feb  190     89.30    0.3    3.0    0.3    3.0 189.07 278.83  0.32  0.00   100   100    50     0.3     3.0  94.36   169   0.32  95.03
ARGX    378.13  Aug  175    206.70    1.6    2.8    1.6    2.8 169.49 379.51  0.55  0.00   100    99    50     1.6     2.7  84.01    66   2.04  87.53
V       265.24  Jun  180     87.75    0.9    2.2    0.9    2.2 176.04 266.05  0.34  0.00   100   100    49     0.9     2.1  87.56   149   1.55  90.03
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
MRK     118.49  Mar  95      24.15    0.4    2.7    0.4    2.7  94.13 118.69  0.21  0.00   100   100    49     0.4     2.6  46.91   111   0.31  47.53
AAPL    183.63  Feb+ 155     29.15    0.2    3.3    0.2    3.3 154.38 183.80  0.16  0.00   100   100    49     0.2     3.2  77.06   126   0.20  77.53
ARGX    378.13  Aug  170    211.50    1.5    2.6    1.5    2.6 164.75 379.37  0.56  0.00   100   100    50     1.5     2.5  81.71    70   1.98  85.03
DE      385.35  Mar  290     97.30    0.6    3.7    0.6    3.7 287.21 386.21  0.25  0.00   100   100    49     0.6     3.7 143.13   120   0.94 145.02
DIS      93.05  Jul  50      44.00    1.2    2.4    1.2    2.4  48.64  93.34  0.48  0.00   100   100    49     1.2     2.4  24.13   133   0.51  25.02
IDXX    520.00  Jul  280    244.50    1.1    2.2    1.1    2.2 272.76 521.51  0.48  0.00   100    99    50     1.0     2.1 135.58   125   2.84 140.02
RS      278.59  Feb  175    104.20    0.2    2.2    0.2    2.2 174.19 278.75  0.37  0.00   100   100    50     0.2     2.2  86.96   211   0.30  87.53
RS      278.59  Mar  190     89.70    0.4    2.3    0.4    2.3 188.38 278.94  0.32  0.00   100   100    50     0.4     2.3  93.96   103   0.61  95.03
JPM     167.99  Mar  135     34.10    0.8    4.9    0.8    4.9 133.55 168.51  0.20  0.00   100   100    48     0.8     4.9  66.47   109   0.44  67.53
CASY    288.58  Oct  175    117.70    1.6    2.1    1.6    2.1 168.33 289.90  0.42  0.00   100   100    49     1.6     2.1  83.45    97   2.65  87.53
RS      278.59  Feb  180     99.20    0.2    2.0    0.2    2.0 179.18 278.74  0.36  0.00   100   100    50     0.2     2.0  89.46   195   0.31  90.03
IDXX    520.00  Dec  230    298.10    3.4    3.7    3.4    3.7 217.73 523.68  0.58  0.01   100    99    49     3.3     3.6 106.97   130   4.27 115.03
V       265.24  Jun  185     82.95    1.1    2.5    1.1    2.5 180.80 266.21  0.32  0.00   100    99    49     1.0     2.4  89.86   140   1.59  92.53
CASY    288.58  Oct  170    122.60    1.6    2.1    1.6    2.1 163.51 289.88  0.43  0.00   100   100    49     1.6     2.1  81.05   102   2.57  85.03
ARGX    378.13  Aug  180    202.00    1.9    3.2    1.9    3.2 174.13 379.75  0.54  0.00   100    99    49     1.8     3.1  86.21    64   2.10  90.03
VGT     482.39  May  335    151.00    0.7    2.2    0.7    2.2 329.25 483.61  0.32  0.00   100   100    49     0.7     2.2 163.97   138   2.24 167.52
BRKB    361.10  Jun  285     81.60    2.1    4.9    2.1    4.9 277.15 364.00  0.23  0.01   100    99    47     2.1     4.8 137.08   122   2.45 142.52
ARGX    378.13  Jun  195    186.00    1.1    2.6    1.1    2.6 190.55 379.17  0.50  0.00   100    99    50     1.0     2.4  94.71    66   1.68  97.53
CASY    288.58  Aug  190    102.20    1.4    2.3    1.4    2.3 184.26 289.83  0.36  0.00   100    99    49     1.3     2.3  91.45    88   2.22  95.03
AAPL    183.63  Feb+ 155     29.00    0.1    2.1    0.1    2.1 154.59 183.71  0.16  0.00   100   100    50     0.1     2.1  77.21   152   0.14  77.53
CDNS    277.56  Jan'25 125  156.50    2.2    2.2    2.2    2.2 118.65 278.84  0.57  0.00   100    99    49     2.1     2.1  58.63   121   2.51  62.53
BRKB    361.10  Jun  275     91.20    2.0    4.5    2.0    4.5 267.63 363.68  0.26  0.01   100   100    47     1.9     4.5 132.48   139   2.37 137.52
IWO     241.25  May  130    112.70    0.7    2.0    0.7    2.0 127.78 241.68  0.47  0.00   100   100    50     0.7     2.0  63.63   210   0.87  65.03
BRKB    361.10  Jun  280     86.50    2.1    4.9    2.1    4.9 272.29 363.94  0.25  0.01   100   100    47     2.1     4.9 134.68   130   2.41 140.02
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
MDY     494.84  Jun  370    130.00    1.0    2.4    1.0    2.4 361.76 496.67  0.27  0.00   100    99    49     1.0     2.3 179.92   113   3.18 185.02
SPY     474.93  Jan+ 454     21.51    0.1    4.7    0.1    4.7 453.32 475.16  0.05  0.00   100    99    49     0.1     4.5 226.49   104   0.20 227.02
PDD     143.16  Jun  70      74.50    1.7    4.0    1.7    4.0  68.16 143.75  0.52  0.00   100   100    49     1.7     4.0  33.74   121   0.60  35.03
PDD     143.16  Jun  65      79.30    1.4    3.2    1.4    3.2  63.40 143.59  0.56  0.00   100   100    49     1.4     3.2  31.43   133   0.56  32.53
IEFA     68.80  Jun  50      19.70    1.3    3.1    1.3    3.1  48.77  69.12  0.29  0.00   100    99    49     1.3     3.0  24.18   130   0.43  25.02
AAPL    183.63  Feb+ 160     24.10    0.2    4.6    0.2    4.6 159.48 183.80  0.13  0.00   100   100    49     0.2     4.5  79.61   121   0.15  80.03
ORCL    106.57  Jun  72.5    35.55    2.0    4.7    2.0    4.7  70.50 107.28  0.34  0.01   100    99    48     2.0     4.6  34.84   103   0.62  36.28
VGT     482.39  May  340    146.00    0.7    2.1    0.7    2.1 334.22 483.58  0.31  0.00   100   100    49     0.7     2.1 166.47   130   2.27 170.02
IEFA     68.80  Jun  45      24.60    1.2    2.8    1.2    2.8  43.91  69.06  0.36  0.00   100   100    49     1.2     2.8  21.78   179   0.39  22.52
IYR      89.54  Mar  70      20.05    0.4    2.4    0.4    2.4  69.36  89.67  0.23  0.00   100   100    49     0.4     2.4  34.56   139   0.23  35.03
BRKB    361.10  Sep  260    109.50    3.9    5.7    3.9    5.7 248.17 365.82  0.31  0.01   100   100    46     3.9     5.7 121.68   147   3.53 130.02
ROP     537.27  Dec  330    217.00    2.2    2.4    2.2    2.4 314.24 540.72  0.42  0.01   100    99    49     2.2     2.3 155.35   145   6.13 165.02
ROP     537.27  Dec  340    208.00    2.7    2.9    2.7    2.9 323.05 541.53  0.40  0.01   100    99    48     2.6     2.8 159.35   139   6.32 170.02
CDNS    277.56  Jan'25 120  161.50    2.5    2.4    2.5    2.4 113.75 278.94  0.59  0.00   100   100    49     2.4     2.4  56.13   132   2.41  60.03
BRKB    361.10  Jun  260    105.50    1.6    3.7    1.6    3.7 253.46 363.11  0.30  0.01   100   100    48     1.6     3.7 125.68   165   2.24 130.02
BRKB    361.10  Sep  250    119.05    3.8    5.5    3.8    5.5 238.75 365.50  0.34  0.01   100   100    46     3.8     5.5 117.13   163   3.40 125.03
CDNS    277.56  Jan'25 110  171.00    2.1    2.1    2.1    2.1 104.45 278.64  0.62  0.00   100   100    50     2.1     2.1  51.63   147   2.21  55.03
BRKB    361.10  Jun  255    110.50    1.7    3.9    1.7    3.9 248.51 363.16  0.31  0.01   100   100    48     1.7     3.9 123.18   176   2.19 127.53
BRKB    361.10  Oct  250    120.50    4.7    6.3    4.7    6.3 236.92 366.57  0.34  0.02   100   100    45     4.7     6.2 115.68   160   3.78 125.03
BRKB    361.10  Jun  270     96.00    1.9    4.3    1.9    4.3 262.88 363.53  0.27  0.01   100   100    47     1.9     4.3 130.18   147   2.32 135.02
BRKB    361.10  Jun  265    101.00    1.9    4.5    1.9    4.5 257.92 363.57  0.29  0.01   100   100    47     1.9     4.5 127.68   157   2.28 132.52
BRKB    361.10  Oct  270    101.50    4.9    6.5    4.9    6.5 255.62 367.27  0.29  0.02   100    99    45     4.9     6.4 124.68   131   4.08 135.02
BRKB    361.10  Sep  270    100.00    4.0    5.9    4.0    5.9 257.53 366.18  0.29  0.01   100    99    45     4.0     5.8 126.18   131   3.67 135.02
CASY    288.58  Aug  185    107.20    1.5    2.5    1.5    2.5 179.32 289.89  0.38  0.00   100   100    49     1.4     2.5  88.95    98   2.16  92.53
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
ORCL    106.57  Jun  67.5    40.30    1.5    3.6    1.5    3.6  65.79 107.07  0.38  0.00   100   100    49     1.5     3.6  32.59   121   0.58  33.78
